"key","message","comment","context"
"Encryption error","Erreur de chiffrement",,"java\com\axelor\rpc\ResponseInterceptor.java:214"
"Encryption key might be wrong.","La clé de cryptage peut être incorrecte.",,"java\com\axelor\rpc\ResponseInterceptor.java:212"
"English","Anglais",,"resources\views\User.xml:7"
"Enum","Enum",,"resources\views\MetaJson.xml:15"
"Enum type","Type d’enum",,"resources\domains\MetaJson.xml:50"
"Expires on","Autoriser jusqu'au",,"resources\domains\User.xml:29"
"Export","Export",,"resources\domains\MetaPermission.xml:21
resources\domains\Permission.xml:19
resources\views\Meta.xml:413"
"Export complete.","Export complet.",,"java\com\axelor\meta\schema\actions\ActionExport.java:154
java\com\axelor\meta\schema\actions\ActionExport.java:157
java\com\axelor\meta\web\MetaController.java:329"
"Extension","Extension",,"resources\domains\Meta.xml:40"
"Favorite","Favori",,"resources\views\Meta.xml:242"
"Favorites","Favoris",,"resources\views\Meta.xml:236
resources\views\Meta.xml:250"
"Field","Champ",,"resources\domains\Meta.xml:240
resources\domains\Meta.xml:252
resources\domains\MetaPermission.xml:18
resources\views\Meta.xml:392"
"Field is required.","Champ requis.",,"java\com\axelor\meta\schema\actions\ActionCondition.java:110"
"Fields","Champs",,"resources\domains\Meta.xml:209
resources\domains\MetaJson.xml:83
resources\views\Meta.xml:384"
"File","Fichier",,"resources\domains\DMS.xml:39
resources\domains\Meta.xml:283
resources\views\Meta.xml:511"
"File added","Fichier ajouté",,"java\com\axelor\dms\db\repo\DMSFileRepository.java:131"
"File name","Nom du fichier",,"resources\domains\DMS.xml:9
resources\domains\Meta.xml:264"
"File path","Chemin du fichier",,"resources\domains\Meta.xml:265"
"File removed","Fichier supprimé",,"java\com\axelor\dms\db\repo\DMSFileRepository.java:131"
"File type","Type",,"resources\domains\Meta.xml:267"
"Files","Fichiers",,"resources\views\Meta.xml:501
resources\views\Meta.xml:509"
"Filter custom","Filtre personnalisé",,"resources\domains\MetaFilter.xml:17"
"Filter files","Filtrer les fichiers",,"resources\views\DMS.xml:149"
"Filter view","Filtre de vue",,"resources\domains\MetaFilter.xml:18"
"Filters","Filtres",,"resources\domains\MetaFilter.xml:16
resources\views\Meta.xml:18"
"Flags","Drapeaux",,"resources\domains\Mail.xml:46"
"Following modules will be installed : <p>%s</p> Are you sure ?","Les modules suivant seront installés : <p>%s</p> Voulez-vous continuer ?",,"java\com\axelor\meta\web\ModuleController.java:42"
"Following modules will be uninstalled : <p>%s</p> Are you sure ?","Les modules suivant seront déinstallés : <p>%s</p> Voulez-vous continuer ?",,"java\com\axelor\meta\web\ModuleController.java:44"
"Force password change","Forcer à changer de mot de passe",,"resources\domains\User.xml:17"
"Force the user to change their password at next login.","Forcer l’utilisateur à changer de mot de passe à la prochaine connexion.",,"resources\domains\User.xml:17"
"Form","Formulaire",,"resources\views\Meta.xml:8"
"Form record","Enregistrement de formulaire",,"resources\views\MetaJson.xml:187"
"Form records","Enregistrements de formulaire",,"resources\views\MetaJson.xml:182"
"Form view","Vue formulaire",,"resources\domains\MetaJson.xml:51
resources\domains\MetaJson.xml:82"
"Form width","Largeur du formulaire",,"resources\domains\MetaJson.xml:70"
"French","Français",,"resources\views\User.xml:8"
"From","De",,"resources\domains\Mail.xml:27"
"Fullname","Nom complet",,"resources\domains\Meta.xml:210"
"Fully qualified object name or wild card package name.","Nom de l'objet",,"resources\domains\Permission.xml:14"
"Gantt","Gantt",,"resources\views\Meta.xml:13"
"General","Général",,"resources\views\DMS.xml:93
resources\views\Meta.xml:257"
"Green","Vert",,"resources\views\Meta.xml:61"
"Grey","Gris",,"resources\views\Meta.xml:69"
"Grid","Liste",,"resources\views\Meta.xml:7"
"Grid view","Vue liste",,"resources\domains\MetaJson.xml:52
resources\domains\MetaJson.xml:81"
"Group","Groupe",,"resources\domains\DMS.xml:40
resources\domains\User.xml:31
resources\views\Group.xml:18"
"Group by","Grouper par",,"resources\domains\MetaJson.xml:72"
"Groups","Les Groupes",,"resources\domains\Meta.xml:112
resources\domains\Meta.xml:41
resources\views\Group.xml:12
resources\views\Menu.xml:23
resources\views\Menu.xml:26"
"Help","Aide",,"resources\domains\Meta.xml:245
resources\domains\MetaJson.xml:20
resources\views\Meta.xml:455
resources\views\Meta.xml:472"
"Help Management","Gestion de l’aide",,"resources\views\Menu.xml:10"
"Help link","Lien aide",,"resources\domains\Meta.xml:39"
"Hidden","Caché",,"resources\domains\Meta.xml:136
resources\domains\Meta.xml:197
resources\domains\MetaJson.xml:33
resources\views\Group.xml:8"
"Hidden menu","Menu caché",,"resources\domains\Meta.xml:104"
"Hide if","Caché si",,"resources\domains\MetaJson.xml:22
resources\domains\MetaPermission.xml:23"
"High","Haut",,"resources\views\Team.xml:16"
"Home action","Action d'accueil",,"resources\domains\Group.xml:16
resources\domains\User.xml:22"
"Icon","Icône",,"resources\domains\Meta.xml:193
resources\domains\Meta.xml:94
resources\views\MetaJson.xml:165"
"Icon background","Icône de fond",,"resources\domains\Meta.xml:95
resources\views\MetaJson.xml:166"
"Important","Important",,"resources\views\DMS.xml:129
resources\views\Mail.xml:27
resources\views\Mail.xml:60
resources\views\Mail.xml:77
resources\views\Meta.xml:38"
"In Progress","En cours",,"resources\views\Team.xml:8"
"Inbox","Boîte de réception",,"resources\views\Mail.xml:16
resources\views\Mail.xml:49
resources\views\Mail.xml:75"
"Inbox is empty!","La boîte de réception est vide !",,"resources\views\Mail.xml:18"
