"key","message","comment","context"
"Extension",,,"resources\domains\Meta.xml:40"
"Favorite",,,"resources\views\Meta.xml:242"
"Favorites",,,"resources\views\Meta.xml:236
resources\views\Meta.xml:250"
"Field",,,"resources\domains\Meta.xml:240
resources\domains\Meta.xml:252
resources\domains\MetaPermission.xml:18
resources\views\Meta.xml:392"
"Field is required.",,,"java\com\axelor\meta\schema\actions\ActionCondition.java:110"
"Fields",,,"resources\domains\Meta.xml:209
resources\domains\MetaJson.xml:83
resources\views\Meta.xml:384"
"File",,,"resources\domains\DMS.xml:39
resources\domains\Meta.xml:283
resources\views\Meta.xml:511"
"File added",,,"java\com\axelor\dms\db\repo\DMSFileRepository.java:131"
"File name",,,"resources\domains\DMS.xml:9
resources\domains\Meta.xml:264"
"File path",,,"resources\domains\Meta.xml:265"
"File removed",,,"java\com\axelor\dms\db\repo\DMSFileRepository.java:131"
"File type",,,"resources\domains\Meta.xml:267"
"Files",,,"resources\views\Meta.xml:501
resources\views\Meta.xml:509"
"Filter custom",,,"resources\domains\MetaFilter.xml:17"
"Filter files",,,"resources\views\DMS.xml:149"
"Filter view",,,"resources\domains\MetaFilter.xml:18"
"Filters",,,"resources\domains\MetaFilter.xml:16
resources\views\Meta.xml:18"
"Flags",,,"resources\domains\Mail.xml:46"
"Following modules will be installed : <p>%s</p> Are you sure ?",,,"java\com\axelor\meta\web\ModuleController.java:42"
"Following modules will be uninstalled : <p>%s</p> Are you sure ?",,,"java\com\axelor\meta\web\ModuleController.java:44"
"Force password change",,,"resources\domains\User.xml:17"
"Force the user to change their password at next login.",,,"resources\domains\User.xml:17"
"Form",,,"resources\views\Meta.xml:8"
"Form record",,,"resources\views\MetaJson.xml:187"
"Form records",,,"resources\views\MetaJson.xml:182"
"Form view",,,"resources\domains\MetaJson.xml:51
resources\domains\MetaJson.xml:82"
"Form width",,,"resources\domains\MetaJson.xml:70"
"French",,,"resources\views\User.xml:8"
"From",,,"resources\domains\Mail.xml:27"
"Fullname",,,"resources\domains\Meta.xml:210"
"Fully qualified object name or wild card package name.",,,"resources\domains\Permission.xml:14"
"Gantt",,,"resources\views\Meta.xml:13"
"General",,,"resources\views\DMS.xml:93
resources\views\Meta.xml:257"
"Green",,,"resources\views\Meta.xml:61"
"Grey",,,"resources\views\Meta.xml:69"
"Grid",,,"resources\views\Meta.xml:7"
